n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
134,    1489,       828,        4,      769,        950,         7
135,    1504,       844,        4,      774,        959,         6
136,    1524,       856,        4,      789,        968,         7
137,    1530,       860,        4,      797,        977,         7
138,    1552,       873,        4,      794,        986,         7
139,    1564,       883,        4,      810,        995,         6
140,    1569,       880,        4,      818,       1004,         7
141,    1585,       890,        4,      824,       1013,         8
142,    1603,       899,        5,      825,       1022,         7
143,    1608,       893,        4,      830,       1031,         7
144,    1629,       907,        5,      862,       1040,         9
145,    1644,       921,        4,      870,       1049,         7
146,    1655,       926,        5,      873,       1058,         7
147,    1668,       923,        5,      882,       1067,         7
148,    1689,       934,        5,      882,       1076,         9
149,    1700,       943,        5,      895,       1085,         6
150,    1711,       954,        5,      890,       1094,         7
151,    1727,       962,        6,      905,       1103,         9
152,    1732,       961,        5,      913,       1112,         8
153,    1759,       990,        5,      919,       1121,         6
154,    1780,       995,        5,      927,       1130,         8
155,    1777,       990,        4,      934,       1139,         9
156,    1800,      1013,        5,      937,       1148,         8
157,    1800,      1006,        5,      947,       1157,         8
158,    1801,      1005,        5,      958,       1166,        10
159,    1828,      1019,        5,      965,       1175,         8
160,    1849,      1031,        5,      968,       1184,        14
161,    1859,      1041,        5,      977,       1193,         8
162,    1877,      1042,        6,      989,       1202,         7
163,    1889,      1051,        5,      998,       1211,         7
164,    1913,      1065,        6,     1000,       1220,         9
165,    1917,      1075,        5,     1010,       1229,         8
166,    1928,      1078,        6,     1026,       1238,         8
167,    1949,      1091,        5,     1033,       1247,         7
168,    1961,      1094,        6,     1032,       1256,        11
169,    1985,      1106,        6,     1042,       1265,         8
170,    2001,      1117,        5,     1045,       1274,         8
171,    2018,      1127,        5,     1062,       1283,        10
172,    2028,      1135,        5,     1064,       1292,         9
173,    2049,      1144,        6,     1066,       1301,         8
174,    2062,      1147,        5,     1080,       1310,        11
175,    2081,      1165,        5,     1087,       1319,         8
176,    2092,      1170,        4,     1090,       1328,        11
177,    2118,      1183,        5,     1100,       1337,         8
178,    2130,      1191,        4,     1112,       1346,         8
179,    2147,      1202,        6,     1116,       1355,         9
180,    2139,      1187,        5,     1113,       1364,        10
181,    2164,      1211,        5,     1120,       1373,         9
182,    2173,      1202,        5,     1123,       1382,        11
183,    2184,      1216,        7,     1134,       1391,         9
184,    2208,      1234,        7,     1138,       1400,        10
185,    2221,      1240,        6,     1142,       1409,         9
186,    2240,      1246,        5,     1164,       1418,         9
187,    2261,      1259,        4,     1172,       1427,         9
188,    2267,      1274,        5,     1184,       1436,        12
189,    2299,      1289,        5,     1194,       1445,         9
190,    2309,      1289,        7,     1191,       1454,        11
191,    2334,      1305,        5,     1196,       1463,         9
192,    2337,      1301,        7,     1212,       1472,        10
193,    2356,      1309,        7,     1220,       1481,        10
194,    2361,      1312,        6,     1232,       1490,         9
195,    2392,      1333,        5,     1238,       1499,         9
196,    2396,      1330,        7,     1248,       1508,        12
197,    2418,      1346,        5,     1257,       1517,         9
198,    2428,      1348,        6,     1253,       1526,        11
199,    2444,      1364,        6,     1270,       1535,        10
200,    2457,      1370,        6,     1283,       1544,        10
201,    2474,      1374,        6,     1290,       1553,        10
202,    2493,      1394,        6,     1295,       1562,        10
203,    2505,      1394,        6,     1308,       1571,        10
204,    2512,      1391,        6,     1325,       1580,        13
205,    2531,      1407,        6,     1329,       1589,        10
206,    2547,      1410,        6,     1323,       1598,        12
207,    2562,      1430,        6,     1335,       1607,        17
208,    2581,      1435,        8,     1344,       1616,        12
209,    2589,      1440,        9,     1352,       1625,        10
210,    2610,      1447,        8,     1364,       1634,        10
211,    2620,      1461,        7,     1373,       1643,        11
212,    2657,      1486,        8,     1376,       1652,        11
213,    2667,      1481,        7,     1378,       1661,        11
214,    2659,      1470,        7,     1383,       1670,        12
215,    2677,      1491,        7,     1391,       1679,        10
216,    2699,      1504,        7,     1417,       1688,        14
217,    2706,      1500,        6,     1425,       1697,        24
218,    2737,      1526,        8,     1432,       1706,        16
219,    2743,      1518,        7,     1444,       1715,         9
220,    2764,      1532,        8,     1449,       1724,        10
221,    2771,      1537,        8,     1454,       1733,         9
222,    2785,      1543,        7,     1449,       1742,        10
223,    2792,      1546,        7,     1454,       1751,        10
224,    2826,      1562,        7,     1469,       1760,        10
225,    2830,      1568,        9,     1476,       1769,        12
226,    2847,      1579,        9,     1476,       1778,        11
227,    2862,      1594,        9,     1488,       1787,         9
228,    2885,      1602,       11,     1497,       1796,        11
229,    2887,      1601,        8,     1506,       1805,         9
230,    2914,      1624,        9,     1511,       1814,        10
231,    2912,      1616,        7,     1523,       1823,         9
232,    2936,      1628,        8,     1530,       1832,        11
233,    2939,      1628,        7,     1536,       1841,         9
234,    2959,      1643,        9,     1555,       1850,        10
235,    2987,      1659,        8,     1564,       1859,        12
236,    3005,      1658,        8,     1572,       1868,        11
237,    3020,      1672,        8,     1578,       1877,         9
238,    3040,      1686,        8,     1583,       1886,        10
239,    3046,      1685,        9,     1590,       1895,        16
240,    3065,      1703,        9,     1600,       1904,        11
241,    3077,      1697,        8,     1603,       1913,        10
242,    3082,      1713,        8,     1608,       1922,        10
243,    3116,      1732,        8,     1619,       1931,        18
244,    3129,      1731,        8,     1629,       1940,        11
245,    3147,      1743,       10,     1634,       1949,         9
246,    3154,      1750,        8,     1648,       1958,        11
247,    3173,      1755,        8,     1655,       1967,        10
248,    3185,      1762,        8,     1665,       1976,        11
249,    3205,      1774,        7,     1668,       1985,         9
250,    3231,      1796,        8,     1674,       1994,        11
251,    3236,      1786,       10,     1685,       2003,        10
252,    3245,      1789,       10,     1685,       2012,        11
253,    3275,      1815,        8,     1688,       2021,        18
254,    3271,      1813,        8,     1706,       2030,        11
255,    3290,      1818,        8,     1703,       2039,        10
256,    3308,      1834,        9,     1724,       2048,        12
257,    3323,      1847,        9,     1733,       2058,         9
258,    3336,      1853,        9,     1724,       2068,        11
259,    3351,      1853,        9,     1734,       2078,        15
260,    3381,      1868,       10,     1760,       2088,        14
261,    3386,      1871,        9,     1771,       2098,        10
262,    3410,      1890,        8,     1761,       2108,        11
263,    3436,      1898,       10,     1773,       2118,        10
264,    3444,      1903,        8,     1779,       2128,        12
265,    3459,      1913,        9,     1788,       2138,         9
266,    3464,      1899,       10,     1797,       2148,        11
267,    3486,      1930,        9,     1800,       2158,        10
268,    3487,      1927,       10,     1810,       2168,        12
269,    3508,      1933,        9,     1818,       2178,        10
270,    3536,      1954,        9,     1819,       2188,        11
271,    3537,      1947,        9,     1831,       2198,        11
272,    3555,      1969,       10,     1850,       2208,        12
273,    3577,      1980,        9,     1863,       2218,         9
274,    3597,      1980,        9,     1869,       2228,        11
275,    3615,      1992,       10,     1881,       2238,        10
276,    3636,      2015,       12,     1873,       2248,        12
277,    3626,      1996,       10,     1884,       2258,        11
278,    3665,      2023,       10,     1896,       2268,        18
279,    3661,      2022,       10,     1904,       2278,        11
280,    3698,      2048,        9,     1906,       2288,        13
281,    3709,      2044,       10,     1917,       2298,        11
282,    3728,      2066,       10,     1928,       2308,        12
283,    3744,      2069,       10,     1943,       2318,        11
284,    3757,      2072,        9,     1948,       2328,        12
285,    3773,      2079,        9,     1947,       2338,        10
286,    3788,      2088,       11,     1957,       2348,        14
287,    3808,      2103,       10,     1961,       2358,        12
288,    3832,      2123,       10,     1992,       2368,        14
289,    3841,      2123,       10,     2003,       2378,        11
290,    3850,      2111,       10,     2004,       2388,        12
291,    3898,      2145,       10,     2017,       2398,        11
292,    3901,      2150,       11,     2024,       2408,        13
293,    3912,      2163,       11,     2028,       2418,        11
294,    3927,      2156,       11,     2049,       2428,        13
295,    3937,      2168,       12,     2039,       2438,        21
296,    3961,      2191,       11,     2058,       2448,        13
297,    3969,      2188,       10,     2066,       2458,        11
298,    3981,      2197,       11,     2074,       2468,        12
299,    3998,      2199,       11,     2083,       2478,        11
300,    4015,      2222,       11,     2065,       2488,        13
301,    4023,      2220,       10,     2076,       2498,        12
302,    4060,      2225,       11,     2104,       2508,        13
303,    4063,      2230,       10,     2102,       2518,        12
304,    4086,      2238,       12,     2128,       2528,        14
305,    4097,      2249,       14,     2136,       2538,        12
306,    4132,      2283,       11,     2134,       2548,        13
307,    4139,      2280,       10,     2147,       2558,        12
308,    4159,      2284,       12,     2150,       2568,        13
309,    4169,      2282,       11,     2161,       2578,        12
310,    4194,      2304,       11,     2173,       2588,        13
311,    4193,      2288,       11,     2171,       2598,        12
312,    4232,      2329,       12,     2185,       2608,        21
313,    4242,      2328,       10,     2191,       2618,        12
314,    4254,      2350,       17,     2209,       2628,        16
